Country,Human_development,GII,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,HDIR,HDI,LEAB,EYS,MYS,GNI,ISO-Code
Panama,Very high,0.392,52.0,69.9,22.5,70.2,68.7,50.4,72.6,61,0.805,76.2,13.1,10.5,"26,957",PAN
Malaysia,Very high,0.228,29.0,9.3,14.9,75.0,78.4,51.2,77.6,62,0.803,74.9,13.3,10.6,"26,658",MYS
Georgia,Very high,0.28,25.0,31.7,19.3,97.1,98.3,51.0,68.0,63,0.802,71.7,15.6,12.8,"14,664",GEO
Mauritius,Very high,0.347,61.0,24.6,20.0,64.4,70.8,43.4,70.4,63,0.802,73.6,15.2,10.4,"22,025",MUS
Serbia,Very high,0.131,12.0,14.9,39.2,88.6,95.3,46.6,62.3,63,0.802,74.2,14.4,11.4,"19,123",SRB
Thailand,Very high,0.333,37.0,32.7,13.9,47.6,51.7,59.0,75.0,66,0.8,78.7,15.9,8.7,"17,030",THA
Albania,High,0.144,15.0,14.5,35.7,95.4,93.0,50.7,66.2,67,0.796,76.5,14.4,11.3,"14,131",ALB
Bulgaria,High,0.21,10.0,38.6,23.8,94.9,96.5,49.1,62.6,68,0.795,71.8,13.9,11.4,"23,079",BGR
Grenada,High,,25.0,32.7,32.1,,,,,68,0.795,74.9,18.7,9.0,"13,484",GRD
Barbados,High,0.268,27.0,42.3,29.4,95.4,86.0,56.1,63.7,70,0.79,77.6,15.7,9.9,"12,306",BRB
Antigua and Barbuda,High,,42.0,33.1,31.4,,,,,71,0.788,78.5,14.2,9.3,"16,792",ATG
Seychelles,High,,53.0,53.4,22.9,,,,,72,0.785,71.3,13.9,10.3,"25,831",SYC
Sri Lanka,High,0.383,36.0,15.7,5.4,84.0,84.2,30.9,68.5,73,0.782,76.4,14.1,10.8,"12,578",LKA
Bosnia and Herzegovina,High,0.136,10.0,9.9,24.6,82.7,94.0,32.3,52.4,74,0.78,75.3,13.8,10.5,"15,242",BIH
Saint Kitts and Nevis,High,,,38.2,25.0,,,,,75,0.777,71.7,15.4,8.7,"23,358",KNA
Iran,High,0.459,16.0,30.2,5.6,71.6,76.0,14.4,68.1,76,0.774,73.9,14.6,10.6,"13,001",
Ukraine,High,0.2,19.0,15.6,20.8,96.2,95.8,48.1,63.6,77,0.773,71.6,15.0,11.1,"13,256",UKR
North Macedonia,High,0.134,7.0,16.4,41.7,61.9,75.1,42.4,63.4,78,0.77,73.8,13.6,10.2,"15,918",MKD
China,High,0.192,29.0,11.0,24.9,78.3,85.4,61.6,74.3,79,0.768,78.2,14.2,7.6,"17,504",CHN
Dominican Republic,High,0.429,95.0,65.6,25.7,77.4,76.9,49.6,75.2,80,0.767,72.6,14.5,9.3,"17,990",DOM
Moldova,High,0.205,19.0,27.8,39.6,96.1,98.0,33.9,43.9,-1,,,,,,
Palau,High,,,42.5,6.9,96.9,97.3,,,80,0.767,66.0,15.8,12.5,"13,819",PLW
Cuba,High,0.303,36.0,48.8,53.4,89.5,91.9,40.3,68.5,83,0.764,73.7,14.4,12.5,"7,879",CUB
Peru,High,0.38,88.0,56.8,40.0,59.3,69.9,66.1,81.9,84,0.762,72.4,15.4,9.9,"12,246",PER
Armenia,High,0.216,26.0,18.5,33.6,96.0,97.1,42.7,63.0,85,0.759,72.0,13.1,11.3,"13,158",ARM
Mexico,High,0.309,33.0,54.4,49.8,65.1,66.7,43.8,75.4,86,0.758,70.2,14.9,9.2,"17,896",MEX
Brazil,High,0.39,60.0,45.2,14.8,62.4,59.1,49.1,68.2,87,0.754,72.8,15.6,8.1,"14,370",BRA
Colombia,High,0.424,83.0,59.0,19.6,58.9,56.5,52.2,78.0,88,0.752,72.8,14.4,8.9,"14,384",COL
Saint Vincent and the Grenadines,High,0.39,68.0,47.9,18.2,44.1,39.6,52.9,74.1,89,0.751,69.6,14.7,10.8,"11,961",VCT
Maldives,High,0.348,53.0,7.3,4.6,46.4,41.5,34.3,67.5,90,0.747,79.9,12.6,7.3,"15,448",MDV
Algeria,High,0.499,112.0,11.7,7.5,46.0,56.9,15.7,64.5,91,0.745,76.4,14.6,8.1,"10,800",DZA
Azerbaijan,High,0.294,26.0,40.1,18.2,93.6,97.6,60.4,67.3,91,0.745,69.4,13.5,10.5,"14,257",AZE
Tonga,High,0.631,52.0,19.0,0.0,93.5,93.1,37.3,55.3,91,0.745,71.0,16.0,11.4,"6,822",TON
Turkmenistan,High,0.177,7.0,21.8,25.0,93.5,92.2,36.5,55.6,91,0.745,69.3,13.2,11.3,"13,021",TKM
Ecuador,High,0.362,59.0,63.2,39.4,53.0,52.0,53.3,76.5,95,0.74,73.7,14.6,8.8,"10,312",ECU
Mongolia,High,0.313,45.0,26.7,17.1,79.3,73.0,51.5,66.6,96,0.739,71.0,15.0,9.4,"10,588",MNG
Egypt,High,0.443,37.0,44.8,22.9,81.6,76.6,15.4,67.1,97,0.731,70.2,13.8,9.6,"11,732",EGY
Tunisia,High,0.259,43.0,6.7,26.3,42.9,51.8,25.5,67.2,97,0.731,73.8,15.4,7.4,"10,258",TUN
Fiji,High,0.318,34.0,26.8,21.6,90.2,87.9,37.7,75.3,99,0.73,67.1,14.7,10.9,"9,980",FJI
Suriname,High,0.427,120.0,56.1,29.4,69.9,70.7,43.4,65.1,99,0.73,70.3,13.0,9.8,"12,672",SUR
Uzbekistan,High,0.227,29.0,15.9,28.7,99.9,100.0,44.9,70.9,101,0.727,70.9,12.5,11.9,"7,917",UZB
Dominica,High,,,38.5,34.4,,,,,102,0.72,72.8,13.3,8.1,"11,488",DMA
Jordan,High,0.471,46.0,25.4,11.8,77.4,84.2,13.5,62.3,102,0.72,74.3,10.6,10.4,"9,924",JOR
Libya,High,0.259,72.0,6.9,16.0,70.5,45.1,34.1,61.0,104,0.718,71.9,12.9,7.6,"15,336",LBY
Paraguay,High,0.445,84.0,70.3,16.8,52.5,54.0,59.6,84.2,105,0.717,70.3,13.0,8.9,"12,349",PRY
Palestine,High,,27.0,43.5,,67.9,67.6,16.7,66.3,106,0.715,73.5,13.4,9.9,"6,583",
Saint Lucia,High,0.381,117.0,36.9,24.1,49.9,43.8,63.2,73.2,106,0.715,71.1,12.9,8.5,"12,048",LCA
Guyana,High,0.454,169.0,66.6,35.7,69.5,62.2,40.3,64.1,108,0.714,65.7,12.5,8.6,"22,465",GUY
South Africa,High,0.405,119.0,61.2,46.0,68.9,87.7,46.2,59.9,109,0.713,62.3,13.6,11.4,"12,948",ZAF
Jamaica,High,0.335,80.0,32.8,31.0,74.3,66.4,56.1,70.0,110,0.709,70.5,13.4,9.2,"8,834",JAM
Samoa,High,0.418,43.0,43.6,7.8,79.1,71.6,30.7,54.2,111,0.707,72.8,12.4,11.4,"5,308",WSM
Gabon,High,0.541,252.0,91.2,18.7,67.2,84.0,39.1,57.0,112,0.706,65.8,13.0,9.4,"13,367",GAB
Lebanon,High,0.432,29.0,20.3,4.7,54.3,55.6,20.8,64.3,112,0.706,75.0,11.3,8.7,"9,526",LBN
Indonesia,High,0.444,177.0,33.9,21.0,51.0,58.2,53.7,81.7,114,0.705,67.6,13.7,8.6,"11,466",IDN
Viet Nam,High,0.296,43.0,34.6,30.3,61.3,69.6,69.6,79.4,115,0.703,73.6,13.0,8.4,"7,867",VNM
Philippines,Medium,0.419,121.0,48.2,28.0,73.4,69.1,43.8,68.3,116,0.699,69.3,13.1,9.0,"8,920",PHL
Botswana,Medium,0.468,144.0,49.3,10.8,91.3,91.8,56.3,65.1,117,0.693,61.1,12.3,10.3,"16,198",BWA
Bolivia,Medium,0.418,155.0,63.8,48.2,60.1,69.7,68.3,83.8,118,0.692,63.6,14.9,9.8,"8,111",
Kyrgyzstan,Medium,0.37,60.0,34.7,20.5,100.0,99.8,42.1,71.7,118,0.692,70.0,13.2,11.4,"4,566",KGZ
Venezuela,Medium,0.492,125.0,82.7,22.2,79.8,75.4,34.3,67.8,120,0.691,70.6,12.8,11.1,"4,811",
Iraq,Medium,0.558,79.0,62.2,28.9,42.0,52.9,11.1,71.8,121,0.686,70.4,12.1,7.9,"9,977",IRQ
Tajikistan,Medium,0.285,17.0,45.4,23.4,93.5,94.6,30.2,50.5,122,0.685,71.6,11.7,11.3,"4,548",TJK
Belize,Medium,0.364,36.0,57.1,19.6,54.5,49.8,46.9,76.8,123,0.683,70.5,13.0,8.8,"6,309",BLZ
Morocco,Medium,0.425,70.0,25.9,20.4,30.9,37.1,22.0,66.0,123,0.683,74.0,14.2,5.9,"7,303",MAR
El Salvador,Medium,0.376,46.0,55.9,27.4,42.7,51.4,43.6,72.6,125,0.675,70.7,12.7,7.2,"8,296",SLV
Nicaragua,Medium,0.424,98.0,85.6,50.5,51.2,49.7,46.8,81.3,126,0.667,73.8,12.6,7.1,"5,625",NIC
Bhutan,Medium,0.415,183.0,19.0,16.7,23.6,32.3,51.6,67.4,127,0.666,71.8,13.2,5.2,"9,438",BTN
Cabo Verde,Medium,0.349,58.0,55.2,38.9,28.8,31.2,46.9,61.7,128,0.662,74.1,12.6,6.3,"6,230",CPV
Bangladesh,Medium,0.53,173.0,75.5,20.9,50.6,58.5,34.9,78.8,129,0.661,72.4,12.4,7.4,"5,472",BGD
Tuvalu,Medium,,,33.1,6.3,60.0,60.7,,,130,0.641,64.5,9.4,10.6,"6,351",TUV
Marshall Islands,Medium,,,58.0,6.1,91.6,92.5,,,131,0.639,65.3,10.2,10.9,"4,620",MHL
India,Medium,0.49,133.0,17.2,13.4,41.8,53.8,19.2,70.1,132,0.633,67.2,11.9,6.7,"6,590",IND
Ghana,Medium,0.529,308.0,64.2,14.5,58.0,73.2,64.5,72.2,133,0.632,63.8,12.0,8.3,"5,745",GHA
Micronesia,Medium,,88.0,35.8,7.1,,,,,134,0.628,70.7,11.5,7.8,"3,696",
Guatemala,Medium,0.481,95.0,64.1,19.4,29.5,35.8,37.4,80.3,135,0.627,69.2,10.6,5.7,"8,723",GTM
